Date/Time,Electricity:Facility [kWh](Hourly)
 01/01  01:00:00,0.925935589
 01/01  02:00:00,0.798768278
 01/01  03:00:00,0.753579623
 01/01  04:00:00,0.739893006
 01/01  05:00:00,0.738655374
 01/01  06:00:00,0.790782888
 01/01  07:00:00,1.012545374
 01/01  08:00:00,1.352248653
 01/01  09:00:00,1.306642525
 01/01  10:00:00,1.136442063
 01/01  11:00:00,1.163669795
 01/01  12:00:00,1.150986891
 01/01  13:00:00,1.119698975
 01/01  14:00:00,1.087282693
 01/01  15:00:00,1.082882305
 01/01  16:00:00,1.152213391
 01/01  17:00:00,1.412985952
 01/01  18:00:00,1.931563535
 01/01  19:00:00,2.244750811
 01/01  20:00:00,2.203192779
 01/01  21:00:00,2.050695615
 01/01  22:00:00,1.884483149
 01/01  23:00:00,1.563636853
 01/01  24:00:00,1.24501619
 01/02  01:00:00,0.923887141
 01/02  02:00:00,0.801508366
 01/02  03:00:00,0.760560751
 01/02  04:00:00,0.746194845
 01/02  05:00:00,0.741338612
 01/02  06:00:00,0.794361481
 01/02  07:00:00,1.009996873
 01/02  08:00:00,1.338950455
 01/02  09:00:00,1.279819264
 01/02  10:00:00,1.096705895
 01/02  11:00:00,1.118899959
 01/02  12:00:00,1.099635289
 01/02  13:00:00,1.074871656
 01/02  14:00:00,1.049433143
 01/02  15:00:00,1.05126639
 01/02  16:00:00,1.122402574
 01/02  17:00:00,1.384828268
 01/02  18:00:00,1.905017535
 01/02  19:00:00,2.213373666
 01/02  20:00:00,2.174686115
 01/02  21:00:00,2.021852858
 01/02  22:00:00,1.855952001
 01/02  23:00:00,1.543536936
 01/02  24:00:00,1.2358709
 01/03  01:00:00,0.935141259
 01/03  02:00:00,0.810419969
 01/03  03:00:00,0.766557892
 01/03  04:00:00,0.758314295
 01/03  05:00:00,0.76204098
 01/03  06:00:00,0.819615573
 01/03  07:00:00,1.037587617
 01/03  08:00:00,1.370431403
 01/03  09:00:00,1.312224228
 01/03  10:00:00,1.133459439
 01/03  11:00:00,1.16441804
 01/03  12:00:00,1.144819801
 01/03  13:00:00,1.121561094
 01/03  14:00:00,1.099042073
 01/03  15:00:00,1.100666831
 01/03  16:00:00,1.175553397
 01/03  17:00:00,1.443023509
 01/03  18:00:00,1.97429488
 01/03  19:00:00,2.278095547
 01/03  20:00:00,2.236535706
 01/03  21:00:00,2.083281569
 01/03  22:00:00,1.920754893
 01/03  23:00:00,1.605327565
 01/03  24:00:00,1.297589419
 01/04  01:00:00,0.99193765
 01/04  02:00:00,0.870434703
 01/04  03:00:00,0.831986298
 01/04  04:00:00,0.827698139
 01/04  05:00:00,0.836648191
 01/04  06:00:00,0.89324574
 01/04  07:00:00,1.139185792
 01/04  08:00:00,1.440476937
 01/04  09:00:00,1.383219398
 01/04  10:00:00,1.173457132
 01/04  11:00:00,1.171378464
 01/04  12:00:00,1.134625968
 01/04  13:00:00,1.095563428
 01/04  14:00:00,1.068196385
 01/04  15:00:00,1.074374435
 01/04  16:00:00,1.156815507
 01/04  17:00:00,1.435450067
 01/04  18:00:00,1.967710582
 01/04  19:00:00,2.275644227
 01/04  20:00:00,2.239759124
 01/04  21:00:00,2.090191674
 01/04  22:00:00,1.923323614
 01/04  23:00:00,1.602679096
 01/04  24:00:00,1.292368738
 01/05  01:00:00,0.982464392
 01/05  02:00:00,0.85646884
 01/05  03:00:00,0.809211038
 01/05  04:00:00,0.803100626
 01/05  05:00:00,0.801575976
 01/05  06:00:00,0.853289286
 01/05  07:00:00,1.0687309
 01/05  08:00:00,1.398589562
 01/05  09:00:00,1.336435521
 01/05  10:00:00,1.143916874
 01/05  11:00:00,1.144320202
 01/05  12:00:00,1.110400819
 01/05  13:00:00,1.069300046
 01/05  14:00:00,1.03531043
 01/05  15:00:00,1.043710089
 01/05  16:00:00,1.123597094
 01/05  17:00:00,1.398768945
 01/05  18:00:00,1.936983995
 01/05  19:00:00,2.251912128
 01/05  20:00:00,2.218639776
